CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"8,478","7,422","8,467","7,285","8,070","8,214","8,547","8,146","8,122","8,827","8,211","8,036","97,825"
ROBO COMUN,"8,470","7,420","8,465","7,283","8,066","8,208","8,541","8,138","8,116","8,822","8,208","8,035","97,772"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,8,2,2,2,4,6,6,8,6,5,3,1,53
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,894","1,974","2,322","1,909","2,008","2,196","2,007","2,021","1,983","2,336","2,025","2,159","24,834"
DOLOSAS,"1,231","1,291","1,548","1,287","1,359","1,514","1,337","1,304","1,348","1,589","1,396","1,452","16,656"
CULPOSAS,663,683,774,622,649,682,670,717,635,747,629,707,"8,178"
TOTAL DE HOMICIDIOS,93,119,144,128,131,110,107,113,125,130,116,137,"1,453"
DOLOSOS,43,58,66,72,75,61,56,67,72,62,45,70,747
CULPOSOS,50,61,78,56,56,49,51,46,53,68,71,67,706
DELITOS PATRIMONIALES,"2,164","2,427","2,668","2,165","2,297","2,655","2,668","2,517","2,608","2,796","2,466","2,455","29,886"
PRIV. DE LA LIBERTAD (SECUESTRO),4,7,5,6,8,10,3,9,9,4,6,13,84
DELITOS SEXUALES (VIOLACION),129,110,100,102,133,107,102,111,107,154,94,95,"1,344"
OTROS DELITOS,"2,413","2,440","2,898","2,416","2,571","2,852","2,929","2,895","2,828","3,112","2,814","2,702","32,870"
AMENAZAS,500,489,657,523,610,614,610,669,604,692,624,595,"7,187"
ESTUPRO,3,5,1,3,7,4,7,4,3,1,7,2,47
OTROS SEXUALES,216,196,232,204,224,262,237,266,231,264,217,198,"2,747"
RESTO DE LOS DELITOS (OTROS),"1,694","1,750","2,008","1,686","1,730","1,972","2,075","1,956","1,990","2,155","1,966","1,907","22,889"
